selected,Player,Pos,Fantasy_point,Time_limit,Age,BMI
1,Andre Iguodala,G,3.67,20.53,37,1.09
1,Andrew Wiggins,F,2.48,32.27,26,0.98
1,Chris Chiozza,G,2.04,19.5,26,0.97
1,Damion Lee,G,2.01,24,29,1.07
1,Draymond Green,F,4.14,30.13,31,1.16
1,Gary Payton II,G,2.52,15.9,29,1.02
0,Jeff Dowtin,G,-0.59,22.1,24,0.93
1,Jonathan Kuminga,C,-0.24,19.9,19,1.12
1,Jordan Poole,G,2.38,23.5,22,1.01
0,Juan Toscano-Anderson,F,0.19,18.53,28,1.06
1,Kevon Looney,C,1.19,16.9,25,1.08
0,Moses Moody,G,-0.12,21.1,19,1.08
1,Nemanja Bjelica,C,4.26,19.7,33,1.14
1,Otto Porter Jr.,F,3.4,20.83,28,0.98
1,Stephen Curry,G,4.3,31.9,33,0.98
